#time speed tiller pedal hyd gearup
# Стоянка
0 0 0.0 0.0 3000 0
5 0 0.0 0.0 3000 0
10 0 0.0 0.0 3000 0

# Руление влево (tiller)
15 5 -0.3 0.0 3000 0
20 10 -0.5 0.0 3000 0
25 15 -0.6 0.0 3000 0
30 15 -0.6 0.0 3000 0
35 15 -0.6 0.0 3000 0

# Возврат в нейтраль
40 15 0.0 0.0 3000 0
42 15 0.0 0.0 3000 0

# Руление вправо (tiller)
45 15 0.4 0.0 3000 0
50 20 0.6 0.0 3000 0
55 20 0.8 0.0 3000 0
60 20 0.8 0.0 3000 0
65 20 0.8 0.0 3000 0

# Разбег, переход на педали
70 40 0.0 0.1 3000 0
72 60 0.0 0.2 3000 0
74 80 0.0 0.4 3000 0
76 100 0.0 0.5 3000 0
78 120 0.0 0.6 3000 0
80 140 0.0 0.6 3000 0

# Уборка шасси (центрирование)
82 160 0.0 0.6 3000 1
85 180 0.0 0.0 3000 1
90 200 0.0 0.0 3000 1
95 220 0.0 0.0 3000 1

# Отказ датчика угла
100 240 0.0 0.0 3000 1
105 250 0.0 0.0 3000 1

# Отказ канала 1
110 260 0.0 0.0 3000 1
115 270 0.0 0.0 3000 1

# Снижение, выпуск шасси
120 200 0.0 0.0 3000 0
125 150 0.0 0.0 3000 0
130 100 0.0 0.0 3000 0

# Посадка, руление
135 50 -0.3 0.0 3000 0
140 20 -0.5 0.0 3000 0
145 10 -0.5 0.0 3000 0
150 5 -0.3 0.0 3000 0

# Стоянка
155 0 0.0 0.0 3000 0
160 0 0.0 0.0 3000 0
