# ============================================================
# NWS (Nose Wheel Steering) System Simulation Scenario
# Test: Control Inputs Check & System Response
# ============================================================
# Format: time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
# ============================================================
# This scenario tests the system's response to various pilot inputs
# including tiller, pedals, and dual input conflicts.
# ============================================================

# ========== PHASE 1: Initial State (0-5 sec) ==========
# System powers up, all inputs neutral
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
0 0 0.0 0.0 0.0 0.0 3000 0
5 0 0.0 0.0 0.0 0.0 3000 0

# ========== PHASE 2: Tiller Full Left (5-15 sec) ==========
# Pilot 1 turns tiller to maximum left (-1.0)
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
5 10 -1.0 -1.0 0.0 0.0 3000 0
10 10 -1.0 -1.0 0.0 0.0 3000 0
15 10 -1.0 -1.0 0.0 0.0 3000 0

# ========== PHASE 3: Tiller Return to Neutral (15-20 sec) ==========
# Return tiller to center position
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
15 10 0.0 0.0 0.0 0.0 3000 0
20 10 0.0 0.0 0.0 0.0 3000 0

# ========== PHASE 4: Tiller Full Right (20-30 sec) ==========
# Pilot 1 turns tiller to maximum right (+1.0)
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
20 10 1.0 1.0 0.0 0.0 3000 0
25 10 1.0 1.0 0.0 0.0 3000 0
30 10 1.0 1.0 0.0 0.0 3000 0

# ========== PHASE 5: Tiller Return to Neutral (30-35 sec) ==========
# Return tiller to center position
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
30 10 0.0 0.0 0.0 0.0 3000 0
35 10 0.0 0.0 0.0 0.0 3000 0

# ========== PHASE 6: Pedals Full Left (35-45 sec) ==========
# Pilot 1 pushes pedals to maximum left (-1.0)
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
35 10 0.0 0.0 -1.0 -1.0 3000 0
40 10 0.0 0.0 -1.0 -1.0 3000 0
45 10 0.0 0.0 -1.0 -1.0 3000 0

# ========== PHASE 7: Pedals Return to Neutral (45-50 sec) ==========
# Return pedals to center position
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
45 10 0.0 0.0 0.0 0.0 3000 0
50 10 0.0 0.0 0.0 0.0 3000 0

# ========== PHASE 8: Pedals Full Right (50-60 sec) ==========
# Pilot 1 pushes pedals to maximum right (+1.0)
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
50 10 0.0 0.0 1.0 1.0 3000 0
55 10 0.0 0.0 1.0 1.0 3000 0
60 10 0.0 0.0 1.0 1.0 3000 0

# ========== PHASE 9: Pedals Return to Neutral (60-65 sec) ==========
# Return pedals to center position
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
60 10 0.0 0.0 0.0 0.0 3000 0
65 10 0.0 0.0 0.0 0.0 3000 0

# ========== PHASE 10: Dual Input Conflict - Tiller vs Pedals (65-75 sec) ==========
# Pilot 1 uses tiller left, Pilot 2 uses pedals right
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
65 10 -0.7 0.0 0.0 0.7 3000 0
70 10 -0.7 0.0 0.0 0.7 3000 0
75 10 -0.7 0.0 0.0 0.7 3000 0

# ========== PHASE 11: Dual Input Conflict - Both Tiller (75-85 sec) ==========
# Pilot 1 turns left, Pilot 2 turns right
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
75 10 -0.7 0.7 0.0 0.0 3000 0
80 10 -0.7 0.7 0.0 0.0 3000 0
85 10 -0.7 0.7 0.0 0.0 3000 0

# ========== PHASE 12: Dual Input Conflict - Both Pedals (85-95 sec) ==========
# Pilot 1 pushes left, Pilot 2 pushes right
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
85 10 0.0 0.0 -0.7 0.7 3000 0
90 10 0.0 0.0 -0.7 0.7 3000 0
95 10 0.0 0.0 -0.7 0.7 3000 0

# ========== PHASE 13: Return to Neutral (95-100 sec) ==========
# All inputs neutral after dual input tests
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
95 10 0.0 0.0 0.0 0.0 3000 0
100 10 0.0 0.0 0.0 0.0 3000 0

# ========== PHASE 14: Gear Lever Up (100-110 sec) ==========
# Centering command should be activated
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
100 10 0.0 0.0 0.0 0.0 3000 1
105 10 0.0 0.0 0.0 0.0 3000 1
110 10 0.0 0.0 0.0 0.0 3000 1

# ========== PHASE 15: Gear Lever Down (110-115 sec) ==========
# Gear lever returned to down position
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
110 10 0.0 0.0 0.0 0.0 3000 0
115 10 0.0 0.0 0.0 0.0 3000 0

# ========== PHASE 16: High Speed - Tiller Input Ignored (115-125 sec) ==========
# Speed exceeds threshold, should use pedals even with tiller input
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
115 60 0.5 0.5 0.0 0.0 3000 0
120 60 0.5 0.5 0.0 0.0 3000 0
125 60 0.5 0.5 0.0 0.0 3000 0

# ========== PHASE 17: High Speed - Pedals Active (125-135 sec) ==========
# Pedals control at high speed
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
125 60 0.0 0.0 0.6 0.6 3000 0
130 60 0.0 0.0 0.6 0.6 3000 0
135 60 0.0 0.0 0.6 0.6 3000 0

# ========== PHASE 18: Return to Neutral (135-140 sec) ==========
# All inputs neutral after high speed tests
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
135 60 0.0 0.0 0.0 0.0 3000 0
140 60 0.0 0.0 0.0 0.0 3000 0

# ========== PHASE 19: Hydraulic Pressure Drop (140-150 sec) ==========
# Pressure drops below minimum, system should enter FREE_CASTORING
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
140 10 0.5 0.5 0.0 0.0 3000 0
143 10 0.5 0.5 0.0 0.0 2500 0
145 10 0.5 0.5 0.0 0.0 2000 0
147 10 0.5 0.5 0.0 0.0 1800 0
149 10 0.5 0.5 0.0 0.0 1500 0
150 10 0.5 0.5 0.0 0.0 1500 0

# ========== PHASE 20: Hydraulic Pressure Recovery (150-155 sec) ==========
# Pressure restored to normal
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
150 10 0.5 0.5 0.0 0.0 2000 0
152 10 0.5 0.5 0.0 0.0 2500 0
154 10 0.5 0.5 0.0 0.0 2800 0
155 10 0.5 0.5 0.0 0.0 3000 0

# ========== PHASE 21: Final Neutral (155-160 sec) ==========
# End of test, all inputs neutral
# time speed tiller1 tiller2 pedal1 pedal2 pressure gear_up
155 10 0.0 0.0 0.0 0.0 3000 0
160 10 0.0 0.0 0.0 0.0 3000 0
